name;canton;url;firstmention;hab_year;notes
Château-d'Œx;VD;/Articles/002593/?language=de;1080.0;[{'year': 1416, 'pop': 592, 'unit': 'Einw', 'type': 'original', 'ygr': 1.003121054914267, 'original_unit': 'Haushalte', 'einw_conversion_factor': 4.936063574371257, 'next': 1764}, {'year': 1764, 'pop': 1751.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.003427913243331, 'previous': 1416, 'next': 1803}, {'year': 1803, 'pop': 2001.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0005563686710863, 'previous': 1764, 'next': 1850}, {'year': 1850, 'pop': 2054.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0077724897888665, 'previous': 1803, 'next': 1900}, {'year': 1900, 'pop': 3025.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0079837439686372, 'previous': 1850, 'next': 1930}, {'year': 1930, 'pop': 3840.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9936551718267211, 'previous': 1900, 'next': 1950}, {'year': 1950, 'pop': 3381.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9945760008735228, 'previous': 1930, 'next': 1980}, {'year': 1980, 'pop': 2872.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0079931837771965, 'previous': 1950, 'next': 1990}, {'year': 1990, 'pop': 3110.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.99469844348269, 'previous': 1980, 'next': 2000}, {'year': 2000, 'pop': 2949.0, 'unit': 'Einw', 'type': 'original', 'previous': 1990}];hab+foyer data!, unclear population count (with or without l'etivaz), 
Lutry;VD;/Articles/002420/?language=de;908.0;[{'year': 1416, 'pop': 987, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9993281696644212, 'original_unit': 'Haushalte', 'einw_conversion_factor': 4.936063574371257, 'next': 1550}, {'year': 1550, 'pop': 902.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0031814713079181, 'previous': 1416, 'next': 1764}, {'year': 1764, 'pop': 1780.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.009233892319439, 'previous': 1550, 'next': 1798}, {'year': 1798, 'pop': 2433.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9963433757732078, 'previous': 1764, 'next': 1850}, {'year': 1850, 'pop': 2011.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0021860287794213, 'previous': 1798, 'next': 1900}, {'year': 1900, 'pop': 2243.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0052617658937555, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 2916.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.023676746587102, 'previous': 1900, 'next': 1980}, {'year': 1980, 'pop': 5884.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0171655487812974, 'previous': 1950, 'next': 2000}, {'year': 2000, 'pop': 8270.0, 'unit': 'Einw', 'type': 'original', 'previous': 1980}];hab+foyer data!, with or without Savigny, 
Ballaigues;VD;/Articles/002528/?language=de;1228.0;[{'year': 1416, 'pop': 49, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9938498373955055, 'original_unit': 'Haushalte', 'einw_conversion_factor': 4.936063574371257, 'next': 1453}, {'year': 1453, 'pop': 39, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0079938172317109, 'original_unit': 'Haushalte', 'einw_conversion_factor': 4.936063574371257, 'previous': 1416, 'next': 1570}, {'year': 1570, 'pop': 99, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0071089877285546, 'original_unit': 'Haushalte', 'einw_conversion_factor': 4.936063574371257, 'previous': 1453, 'next': 1684}, {'year': 1684, 'pop': 222, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0016352368797612, 'original_unit': 'Haushalte', 'einw_conversion_factor': 4.936063574371257, 'previous': 1570, 'next': 1764}, {'year': 1764, 'pop': 253.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.008635767009443, 'previous': 1684, 'next': 1850}, {'year': 1850, 'pop': 530.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0060622783611939, 'previous': 1764, 'next': 1900}, {'year': 1900, 'pop': 717.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0051941007769352, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 929.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9987114955963393, 'previous': 1900, 'next': 2000}, {'year': 2000, 'pop': 871.0, 'unit': 'Einw', 'type': 'original', 'previous': 1950}];hab+foyer data!, 
Belmont-sur-Yverdon;VD;/Articles/002623/?language=de;1154.0;[{'year': 1409, 'pop': 153, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9984532997443063, 'original_unit': 'Haushalte', 'einw_conversion_factor': 4.936063574371257, 'next': 1550}, {'year': 1550, 'pop': 123, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0033010840048855, 'original_unit': 'Haushalte', 'einw_conversion_factor': 4.936063574371257, 'previous': 1409, 'next': 1764}, {'year': 1764, 'pop': 249.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.005140747561121, 'previous': 1550, 'next': 1850}, {'year': 1850, 'pop': 387.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9992633459951664, 'previous': 1764, 'next': 1900}, {'year': 1900, 'pop': 373.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0057471865973033, 'previous': 1850, 'next': 1910}, {'year': 1910, 'pop': 395.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9922189533793716, 'previous': 1900, 'next': 1950}, {'year': 1950, 'pop': 289.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9968641600194906, 'previous': 1910, 'next': 2000}, {'year': 2000, 'pop': 247.0, 'unit': 'Einw', 'type': 'original', 'previous': 1950}];hab+foyer data!, 
Borex;VD;/Articles/002498/?language=de;1135.0;[{'year': 1429, 'pop': 69, 'unit': 'Einw', 'type': 'original', 'ygr': 1.001310476820421, 'original_unit': 'Feuerstätten', 'einw_conversion_factor': 4.936063574371257, 'next': 1764}, {'year': 1764, 'pop': 107.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0014308099720188, 'previous': 1429, 'next': 1850}, {'year': 1850, 'pop': 121.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0065850554388323, 'previous': 1764, 'next': 1900}, {'year': 1900, 'pop': 168.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0016021362045153, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 182.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0099792863699166, 'previous': 1900, 'next': 1960}, {'year': 1960, 'pop': 201.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0371593843434692, 'previous': 1950, 'next': 2000}, {'year': 2000, 'pop': 865.0, 'unit': 'Einw', 'type': 'original', 'previous': 1960}];hab+foyer data!, 
Ependes (VD);VD;/Articles/002635/?language=de;1154.0;[{'year': 1404, 'pop': 84, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9995797530793319, 'original_unit': 'Haushalte', 'einw_conversion_factor': 4.936063574371257, 'next': 1550}, {'year': 1550, 'pop': 79, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0054351904046965, 'original_unit': 'Haushalte', 'einw_conversion_factor': 4.936063574371257, 'previous': 1404, 'next': 1764}, {'year': 1764, 'pop': 252.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0014805283861485, 'previous': 1550, 'next': 1798}, {'year': 1798, 'pop': 265.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.003633337893021, 'previous': 1764, 'next': 1850}, {'year': 1850, 'pop': 320.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.994995203949337, 'previous': 1798, 'next': 1900}, {'year': 1900, 'pop': 249.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0032596955412874, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 293.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9881651681198407, 'previous': 1900, 'next': 1980}, {'year': 1980, 'pop': 205.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0225152782047946, 'previous': 1950, 'next': 2000}, {'year': 2000, 'pop': 320.0, 'unit': 'Einw', 'type': 'original', 'previous': 1980}];hab+foyer data!, 
Lignerolle;VD;/Articles/002538/?language=de;1160.0;[{'year': 1416, 'pop': 296, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9890561160275998, 'original_unit': 'Feuerstätten', 'einw_conversion_factor': 4.936063574371257, 'next': 1453}, {'year': 1453, 'pop': 197, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0003257486524544, 'original_unit': 'Feuerstätten', 'einw_conversion_factor': 4.936063574371257, 'previous': 1416, 'next': 1764}, {'year': 1764, 'pop': 218.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0039506909181333, 'previous': 1453, 'next': 1850}, {'year': 1850, 'pop': 306.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0001303021090062, 'previous': 1764, 'next': 1900}, {'year': 1900, 'pop': 308.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9953522034371881, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 244.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0410948635692072, 'previous': 1900, 'next': 1960}, {'year': 1960, 'pop': 365.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9835590104542877, 'previous': 1950, 'next': 1980}, {'year': 1980, 'pop': 262.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.012213811222052, 'previous': 1960, 'next': 2000}, {'year': 2000, 'pop': 334.0, 'unit': 'Einw', 'type': 'original', 'previous': 1980}];hab+foyer data!, 
Premier;VD;/Articles/002542/?language=de;1316.0;[{'year': 1396, 'pop': 74, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9969052138285109, 'original_unit': 'Feuerstätten', 'einw_conversion_factor': 4.936063574371257, 'next': 1529}, {'year': 1529, 'pop': 49, 'unit': 'Einw', 'type': 'original', 'ygr': 1.036486569527857, 'original_unit': 'Feuerstätten', 'einw_conversion_factor': 4.936063574371257, 'previous': 1396, 'next': 1550}, {'year': 1550, 'pop': 104, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0031761505073842, 'original_unit': 'Feuerstätten', 'einw_conversion_factor': 4.936063574371257, 'previous': 1529, 'next': 1764}, {'year': 1764, 'pop': 205.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0031775349396372, 'previous': 1550, 'next': 1803}, {'year': 1803, 'pop': 232.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0049059616228857, 'previous': 1764, 'next': 1850}, {'year': 1850, 'pop': 292.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9901494327825598, 'previous': 1803, 'next': 1900}, {'year': 1900, 'pop': 178.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9957695685777402, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 144.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9978742818248654, 'previous': 1900, 'next': 1970}, {'year': 1970, 'pop': 138.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0137700927619502, 'previous': 1950, 'next': 2000}, {'year': 2000, 'pop': 208.0, 'unit': 'Einw', 'type': 'original', 'previous': 1970}];hab+foyer data!, 
Pully;VD;/Articles/002412/?language=de;994.0;[{'year': 1764, 'pop': 626.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0078990330279334, 'next': 1798}, {'year': 1798, 'pop': 818.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.005939724751271, 'previous': 1764, 'next': 1850}, {'year': 1850, 'pop': 1113.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0149641465828585, 'previous': 1798, 'next': 1900}, {'year': 1900, 'pop': 2339.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.022133674237099, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 6989.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.059904816124879, 'previous': 1900, 'next': 1960}, {'year': 1960, 'pop': 12505.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.006233923102773, 'previous': 1950, 'next': 2000}, {'year': 2000, 'pop': 16034.0, 'unit': 'Einw', 'type': 'original', 'previous': 1960}];hab+foyer data!, 
Suchy;VD;/Articles/002650/?language=de;885.0;[{'year': 1409, 'pop': 118, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0025086687967293, 'original_unit': 'Feuerstätten', 'einw_conversion_factor': 4.936063574371257, 'next': 1550}, {'year': 1550, 'pop': 168, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0018778776421713, 'original_unit': 'Feuerstätten', 'einw_conversion_factor': 4.936063574371257, 'previous': 1409, 'next': 1764}, {'year': 1764, 'pop': 251.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0051374984305192, 'previous': 1550, 'next': 1850}, {'year': 1850, 'pop': 390.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9980648782472927, 'previous': 1764, 'next': 1900}, {'year': 1900, 'pop': 354.0, 'unit': 'Einw', 'type': 'original', 'ygr': 0.9982920256350861, 'previous': 1850, 'next': 1950}, {'year': 1950, 'pop': 325.0, 'unit': 'Einw', 'type': 'original', 'ygr': 1.0011950982554918, 'previous': 1900, 'next': 2000}, {'year': 2000, 'pop': 345.0, 'unit': 'Einw', 'type': 'original', 'previous': 1950}];hab+foyer data!, 
