;year;pop;unit;name;canton;url;firstmention;notes
74;1416;600;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080;hab+foyer data!, unclear population count (with or without l'etivaz), 
75;1764;1751;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080;hab+foyer data!, unclear population count (with or without l'etivaz), 
76;1803;2001;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080;hab+foyer data!, unclear population count (with or without l'etivaz), 
77;1850;2054;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080;hab+foyer data!, unclear population count (with or without l'etivaz), 
78;1900;3025;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080;hab+foyer data!, unclear population count (with or without l'etivaz), 
79;1930;3840;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080;hab+foyer data!, unclear population count (with or without l'etivaz), 
80;1950;3381;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080;hab+foyer data!, unclear population count (with or without l'etivaz), 
81;1980;2872;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080;hab+foyer data!, unclear population count (with or without l'etivaz), 
82;1990;3110;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080;hab+foyer data!, unclear population count (with or without l'etivaz), 
83;2000;2949;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080;hab+foyer data!, unclear population count (with or without l'etivaz), 
84;1764;2400;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080;hab+foyer data!, unclear population count (with or without l'etivaz), 
85;1850;2011;Einw;Lutry;VD;/Articles/002420/?language=de;908;hab+foyer data!, with or without Savigny, 
86;1900;2243;Einw;Lutry;VD;/Articles/002420/?language=de;908;hab+foyer data!, with or without Savigny, 
87;1950;2916;Einw;Lutry;VD;/Articles/002420/?language=de;908;hab+foyer data!, with or without Savigny, 
88;1980;5884;Einw;Lutry;VD;/Articles/002420/?language=de;908;hab+foyer data!, with or without Savigny, 
89;2000;8270;Einw;Lutry;VD;/Articles/002420/?language=de;908;hab+foyer data!, with or without Savigny, 
90;1416;1000;Einw;Lutry;VD;/Articles/002420/?language=de;908;hab+foyer data!, with or without Savigny, 
91;1550;955;Einw;Lutry;VD;/Articles/002420/?language=de;908;hab+foyer data!, with or without Savigny, 
92;1764;2045;Einw;Lutry;VD;/Articles/002420/?language=de;908;hab+foyer data!, with or without Savigny, 
93;1798;2433;Einw;Lutry;VD;/Articles/002420/?language=de;908;hab+foyer data!, with or without Savigny, 
94;1550;902;Einw;Lutry;VD;/Articles/002420/?language=de;908;hab+foyer data!, with or without Savigny, 
95;1764;1780;Einw;Lutry;VD;/Articles/002420/?language=de;908;hab+foyer data!, with or without Savigny, 
96;1416;50;Einw;Ballaigues;VD;/Articles/002528/?language=de;1228;hab+foyer data!, 
97;1453;40;Einw;Ballaigues;VD;/Articles/002528/?language=de;1228;hab+foyer data!, 
98;1570;100;Einw;Ballaigues;VD;/Articles/002528/?language=de;1228;hab+foyer data!, 
99;1684;225;Einw;Ballaigues;VD;/Articles/002528/?language=de;1228;hab+foyer data!, 
100;1764;253;Einw;Ballaigues;VD;/Articles/002528/?language=de;1228;hab+foyer data!, 
101;1850;530;Einw;Ballaigues;VD;/Articles/002528/?language=de;1228;hab+foyer data!, 
