year;pop;unit;name;canton_x;url;firstmention;notes;place;zipcode;zusatzziffer;commune;bfsnr;canton_y;X;Y;language
1416;592.0;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080.0;hab+foyer data!, unclear population count (with or without l'etivaz), ;Château-d'Oex;[1660];0.0;Château-d'Oex;5841.0;VD;7.129;46.473;fr
1764;1751.0;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080.0;hab+foyer data!, unclear population count (with or without l'etivaz), ;Château-d'Oex;[1660];0.0;Château-d'Oex;5841.0;VD;7.129;46.473;fr
1803;2001.0;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080.0;hab+foyer data!, unclear population count (with or without l'etivaz), ;Château-d'Oex;[1660];0.0;Château-d'Oex;5841.0;VD;7.129;46.473;fr
1850;2054.0;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080.0;hab+foyer data!, unclear population count (with or without l'etivaz), ;Château-d'Oex;[1660];0.0;Château-d'Oex;5841.0;VD;7.129;46.473;fr
1900;3025.0;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080.0;hab+foyer data!, unclear population count (with or without l'etivaz), ;Château-d'Oex;[1660];0.0;Château-d'Oex;5841.0;VD;7.129;46.473;fr
1930;3840.0;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080.0;hab+foyer data!, unclear population count (with or without l'etivaz), ;Château-d'Oex;[1660];0.0;Château-d'Oex;5841.0;VD;7.129;46.473;fr
1950;3381.0;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080.0;hab+foyer data!, unclear population count (with or without l'etivaz), ;Château-d'Oex;[1660];0.0;Château-d'Oex;5841.0;VD;7.129;46.473;fr
1980;2872.0;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080.0;hab+foyer data!, unclear population count (with or without l'etivaz), ;Château-d'Oex;[1660];0.0;Château-d'Oex;5841.0;VD;7.129;46.473;fr
1990;3110.0;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080.0;hab+foyer data!, unclear population count (with or without l'etivaz), ;Château-d'Oex;[1660];0.0;Château-d'Oex;5841.0;VD;7.129;46.473;fr
2000;2949.0;Einw;Château-d'Œx;VD;/Articles/002593/?language=de;1080.0;hab+foyer data!, unclear population count (with or without l'etivaz), ;Château-d'Oex;[1660];0.0;Château-d'Oex;5841.0;VD;7.129;46.473;fr
1416;987.0;Einw;Lutry;VD;/Articles/002420/?language=de;908.0;hab+foyer data!, with or without Savigny, ;Lutry;[1095];0.0;Lutry;5606.0;VD;6.686;46.503;fr
1550;902.0;Einw;Lutry;VD;/Articles/002420/?language=de;908.0;hab+foyer data!, with or without Savigny, ;Lutry;[1095];0.0;Lutry;5606.0;VD;6.686;46.503;fr
1764;1780.0;Einw;Lutry;VD;/Articles/002420/?language=de;908.0;hab+foyer data!, with or without Savigny, ;Lutry;[1095];0.0;Lutry;5606.0;VD;6.686;46.503;fr
1798;2433.0;Einw;Lutry;VD;/Articles/002420/?language=de;908.0;hab+foyer data!, with or without Savigny, ;Lutry;[1095];0.0;Lutry;5606.0;VD;6.686;46.503;fr
1850;2011.0;Einw;Lutry;VD;/Articles/002420/?language=de;908.0;hab+foyer data!, with or without Savigny, ;Lutry;[1095];0.0;Lutry;5606.0;VD;6.686;46.503;fr
1900;2243.0;Einw;Lutry;VD;/Articles/002420/?language=de;908.0;hab+foyer data!, with or without Savigny, ;Lutry;[1095];0.0;Lutry;5606.0;VD;6.686;46.503;fr
1950;2916.0;Einw;Lutry;VD;/Articles/002420/?language=de;908.0;hab+foyer data!, with or without Savigny, ;Lutry;[1095];0.0;Lutry;5606.0;VD;6.686;46.503;fr
1980;5884.0;Einw;Lutry;VD;/Articles/002420/?language=de;908.0;hab+foyer data!, with or without Savigny, ;Lutry;[1095];0.0;Lutry;5606.0;VD;6.686;46.503;fr
